Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1031,Disney Infinity,Wii,2013,Action,Disney Interactive Studios,1.15,0.44,0.0,0.14,1.73
1033,Dishonored,X360,2012,Action,Bethesda Softworks,1.06,0.52,0.01,0.14,1.73
1062,Saints Row IV,X360,2013,Action,Deep Silver,1.01,0.53,0.01,0.14,1.69
1073,Call of Duty Black Ops: Declassified,PSV,2012,Action,Activision,0.8,0.52,0.07,0.3,1.69
1077,LEGO Batman 2: DC Super Heroes,X360,2012,Action,Warner Bros. Interactive Entertainment,0.9,0.64,0.0,0.15,1.68
1099,Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.63,0.66,0.11,0.26,1.66
1116,LEGO Pirates of the Caribbean: The Video Game,Wii,2011,Action,Disney Interactive Studios,0.76,0.72,0.0,0.16,1.64
1158,No Man's Sky,PS4,2016,Action,Hello Games,0.58,0.74,0.02,0.26,1.6
1178,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012,Action,Square Enix,0.88,0.26,0.34,0.09,1.58
1195,LEGO Marvel Super Heroes,PS4,2013,Action,Warner Bros. Interactive Entertainment,0.59,0.75,0.01,0.21,1.56
1197,Dishonored,PS3,2012,Action,Bethesda Softworks,0.72,0.54,0.04,0.25,1.55
1204,Watch Dogs,XOne,2014,Action,Ubisoft,0.9,0.53,0.0,0.13,1.55
1210,Dead Rising 3,XOne,2013,Action,Microsoft Game Studios,1.06,0.35,0.01,0.12,1.54
1245,LEGO Star Wars III: The Clone Wars,X360,2011,Action,LucasArts,0.84,0.54,0.0,0.13,1.51
1288,Assassin's Creed III: Liberation,PSV,2012,Action,Ubisoft,0.58,0.55,0.06,0.28,1.47
1293,Metal Gear Rising: Revengeance,PS3,2013,Action,Konami Digital Entertainment,0.45,0.4,0.44,0.18,1.47
1312,LEGO Batman 2: DC Super Heroes,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.94,0.4,0.0,0.11,1.46
1313,Medal of Honor: Warfighter,PS3,2012,Action,Electronic Arts,0.47,0.65,0.06,0.28,1.46
1319,Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.46,0.0,0.13,1.45
1348,Disney Infinity,X360,2013,Action,Disney Interactive Studios,0.96,0.37,0.0,0.11,1.43
1367,Tomb Raider (2013),PS4,2014,Action,Square Enix,0.47,0.64,0.06,0.25,1.41
1399,WWE '13,PS3,2012,Action,THQ,0.51,0.62,0.0,0.26,1.39
1413,Need for Speed: The Run,X360,2011,Action,Electronic Arts,0.63,0.58,0.0,0.15,1.38
1415,Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,0.46,0.62,0.06,0.23,1.37
1433,Ryse: Son of Rome,XOne,2013,Action,Microsoft Game Studios,0.82,0.42,0.0,0.11,1.36
1452,Crysis 2,X360,2011,Action,Electronic Arts,0.7,0.5,0.02,0.12,1.35
1484,Middle-Earth: Shadow of Mordor,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.72,0.5,0.01,0.1,1.32
1490,The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,0.69,0.52,0.0,0.11,1.32
1499,Skylanders Giants,X360,2012,Action,Activision,0.75,0.45,0.0,0.11,1.32
1517,Crysis 2,PS3,2011,Action,Electronic Arts,0.45,0.57,0.06,0.21,1.3
1519,Saints Row IV,PS3,2013,Action,Deep Silver,0.56,0.44,0.09,0.21,1.3
1541,Watch Dogs,X360,2014,Action,Ubisoft,0.72,0.45,0.01,0.11,1.28
1543,Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.46,0.17,0.2,1.28
1545,Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,0.61,0.56,0.0,0.11,1.28
1547,WWE '13,X360,2012,Action,THQ,0.72,0.45,0.0,0.11,1.28
1550,Kid Icarus: Uprising,3DS,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.28
1570,Yokai Watch 3,3DS,2016,Action,Level 5,0.0,0.0,1.27,0.0,1.27
1576,Hyrule Warriors,WiiU,2014,Action,Nintendo,0.61,0.42,0.13,0.1,1.26
1582,LEGO The Lord of the Rings,X360,2012,Action,Warner Bros. Interactive Entertainment,0.63,0.51,0.0,0.11,1.26
1634,LEGO Batman 2: DC Super Heroes,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.5,0.53,0.0,0.2,1.22
1669,LEGO Star Wars III: The Clone Wars,PS3,2011,Action,LucasArts,0.52,0.49,0.0,0.2,1.2
1685,One Piece: Pirate Warriors,PS3,2012,Action,Namco Bandai Games,0.01,0.24,0.86,0.09,1.2
1708,Resident Evil: Operation Raccoon City,PS3,2012,Action,Capcom,0.48,0.25,0.36,0.1,1.18
1727,Medal of Honor: Warfighter,X360,2012,Action,Electronic Arts,0.58,0.47,0.01,0.1,1.17
1750,LEGO Star Wars III: The Clone Wars,DS,2011,Action,LucasArts,0.66,0.39,0.0,0.11,1.16
1783,Pokemon Rumble Blast,3DS,2011,Action,Nintendo,0.47,0.26,0.35,0.07,1.14
1805,LEGO Star Wars III: The Clone Wars,3DS,2011,Action,LucasArts,0.61,0.43,0.0,0.09,1.13
1818,Dragon Age II,X360,2011,Action,Electronic Arts,0.72,0.3,0.01,0.09,1.12
1826,Disney Infinity 2.0: Marvel Super Heroes,X360,2014,Action,Disney Interactive Studios,0.62,0.4,0.0,0.1,1.12
1834,Mad Max (2015),PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.58,0.04,0.17,1.11
1852,The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo,0.52,0.33,0.17,0.08,1.1
1855,LEGO The Lord of the Rings,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.36,0.53,0.0,0.21,1.1
1891,Skylanders Giants,PS3,2012,Action,Activision,0.35,0.52,0.0,0.22,1.09
1898,Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,0.36,0.64,0.0,0.08,1.08
1903,NCAA Football 13,X360,2012,Action,Electronic Arts,1.02,0.0,0.0,0.06,1.08
1935,Disney Universe,Wii,2011,Action,Disney Interactive Studios,0.67,0.3,0.0,0.1,1.07
1937,LEGO Pirates of the Caribbean: The Video Game,X360,2011,Action,Disney Interactive Studios,0.54,0.42,0.0,0.1,1.07
1950,Sleeping Dogs,PS3,2012,Action,Square Enix,0.31,0.5,0.05,0.19,1.06
1966,Assassin's Creed: Rogue,X360,2014,Action,Ubisoft,0.58,0.38,0.0,0.09,1.05
1969,Skylanders: Trap Team,Wii,2014,Action,Activision,0.42,0.54,0.0,0.08,1.05
1977,UFC Undisputed 3,PS3,2012,Action,THQ,0.55,0.34,0.03,0.13,1.05
2009,LEGO Marvel Super Heroes,XOne,2013,Action,Warner Bros. Interactive Entertainment,0.61,0.34,0.0,0.09,1.04
2019,Epic Mickey 2: The Power of Two,Wii,2012,Action,Disney Interactive Studios,0.72,0.23,0.0,0.08,1.03
2031,ZombiU,WiiU,2012,Action,Ubisoft,0.53,0.36,0.05,0.08,1.02
2040,Disney Infinity 2.0: Marvel Super Heroes,PS3,2014,Action,Disney Interactive Studios,0.44,0.4,0.0,0.17,1.02
2043,Bayonetta 2,WiiU,2014,Action,Nintendo,0.34,0.28,0.1,0.3,1.01
2053,The LEGO Movie Videogame,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.48,0.02,0.18,1.01
